,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
235,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,13.8,scattered clouds
236,Tacuarembo,UY,-31.7333,-55.9833,47.8,89,86,5.14,overcast clouds
237,Tual,ID,-5.6667,132.75,81.46,76,91,12.17,overcast clouds
238,Qasigiannguit,GL,68.8193,-51.1922,35.85,81,100,5.46,overcast clouds
239,Tsumeb,NA,-19.2333,17.7167,50.31,34,0,6.2,clear sky
240,Veraval,IN,20.9,70.3667,84.06,80,89,14.76,overcast clouds
241,Thinadhoo,MV,0.5333,72.9333,83.08,74,21,13.44,few clouds
242,Port Lincoln,AU,-34.7333,135.8667,57.97,74,77,12.55,broken clouds
243,Ust-Ishim,RU,57.6935,71.1665,60.42,99,99,5.26,overcast clouds
244,La Paz,BO,-16.5,-68.15,49.98,36,40,2.3,scattered clouds
245,Arzgir,RU,45.3728,44.2206,71.44,38,17,5.77,few clouds
246,Aden,YE,12.7794,45.0367,88.21,72,64,5.48,broken clouds
247,Mankono,CI,8.0586,-6.1897,71.11,96,33,3.67,light rain
248,Grootfontein,NA,-19.5667,18.1167,40.57,56,1,4.61,clear sky
249,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,17.27,scattered clouds
250,Illapel,CL,-31.6308,-71.1653,50.76,81,97,1.81,overcast clouds
251,Bam,IR,29.106,58.357,80.19,21,0,9.62,clear sky
252,Abay,KZ,49.6311,72.8539,59.38,71,87,8.34,overcast clouds
253,Anadyr,RU,64.75,177.4833,59.5,63,40,15.66,scattered clouds
254,Quetame,CO,4.3323,-73.8614,60.85,99,100,1.03,overcast clouds
255,Aktau,KZ,43.65,51.2,63.18,42,41,7.61,scattered clouds
256,Ambilobe,MG,-13.2,49.05,63.86,87,5,4.05,clear sky
257,Harqalah,TN,36.0303,10.509,75.06,78,0,5.75,clear sky
258,Vermilion,US,40.1667,-87.7506,90.19,33,0,11.5,clear sky
259,Bundi,IN,25.4417,75.6417,79.65,74,65,4.21,broken clouds
260,Aron,IN,24.3833,77.4167,76.82,81,52,6.22,broken clouds
261,Brae,GB,60.3964,-1.353,51.73,98,100,11.25,light rain
262,Butaritari,KI,3.0707,172.7902,82.89,69,8,14.76,clear sky
263,Richards Bay,ZA,-28.783,32.0377,64.2,77,47,0.49,scattered clouds
264,Morristown,US,36.214,-83.2949,83.1,49,0,0.0,clear sky
265,Zarautz,ES,43.2844,-2.1699,64.35,91,100,3.71,overcast clouds
266,Bonthe,SL,7.5264,-12.505,76.93,85,100,7.0,light rain
267,Ponta Delgada,PT,37.7333,-25.6667,66.51,94,75,11.5,light rain
268,Mayya,RU,61.7333,130.2811,67.32,54,100,1.07,overcast clouds
269,Coquimbo,CL,-29.9533,-71.3436,55.13,71,75,4.61,broken clouds
270,Ocumare Del Tuy,VE,10.1165,-66.7761,72.18,95,49,2.15,scattered clouds
271,Nouadhibou,MR,20.931,-17.0347,73.38,94,100,6.91,mist
272,Tiksi,RU,71.6872,128.8694,40.84,57,94,5.1,overcast clouds
273,Ishigaki,JP,24.3448,124.1572,86.13,89,20,11.5,few clouds
274,Xichang,CN,27.8964,102.2634,70.07,89,92,0.92,overcast clouds
275,Vao,NC,-22.6667,167.4833,70.81,61,89,17.29,overcast clouds
276,Kutum,SD,14.2,24.6667,77.65,47,92,5.86,overcast clouds
277,Taman,RU,45.2117,36.7161,75.36,65,66,8.46,broken clouds
278,Kalmunai,LK,7.4167,81.8167,78.78,83,100,6.98,overcast clouds
279,Ahipara,NZ,-35.1667,173.1667,56.12,70,94,12.97,overcast clouds
280,Pitimbu,BR,-7.4706,-34.8086,75.79,81,24,11.54,few clouds
281,Ruteng,ID,-8.6136,120.4721,65.01,67,49,1.88,scattered clouds
282,Dudinka,RU,69.4058,86.1778,65.62,46,99,10.6,overcast clouds
283,Georgetown,MY,5.4112,100.3354,76.93,100,20,2.3,few clouds
