City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
183,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
186,Amursk,RU,65.08,overcast clouds,50.2261,136.8994,Gostinitsa Tsentral'naya
189,Lethem,GY,75.38,overcast clouds,3.3803,-59.7968,Savannah Inn
191,Nome,US,61.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
192,Elizabeth City,US,75.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
195,Port Elizabeth,ZA,61.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
197,Caravelas,BR,70.02,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
198,College,US,73.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
200,Sao Filipe,CV,73.72,light rain,14.8961,-24.4956,Hotel Xaguate
201,Derzhavinsk,KZ,63.05,scattered clouds,51.1,66.3167,Ooo.khim Baza
206,Yamada,JP,68.97,scattered clouds,39.4667,141.95,Iroha-ya Inn
